shape_id,shape_name,theta_eff,beta,param1,param2,aspect_ratio_cav,dc_mm,D_body_mm,D_hemi_mm,L_total_mm,L_cyl_mm,dc_D_ratio,sigma_c,Re,U_ms,depth_m,Froude,Cdp,Csf,Cd,L_tilde,D_tilde,cavity_covers,drag_red_pct
0,disc,90.0,1.0,90.0,0.0,0.0461,12.0,30.0,15.0,115.0,85.0,0.4,0.2949,665901.0,5.802,10.09,5.4626,1.072471,0.235554,1.421182,2.7664,1.6754,0,29.477
5,ogive_polynomial,38.0805,0.6168,3.3185,0.0,0.9955,12.0,30.0,15.0,115.0,85.0,0.4,0.23515,4704299.0,40.989,29.62,38.5906,0.459422,0.21194,0.783288,1.5258,1.2539,0,39.386
5,ogive_polynomial,43.1979,0.6845,2.5864,0.0,0.7759,12.0,30.0,15.0,115.0,85.0,0.4,0.1765,2020380.0,17.604,25.53,16.5737,0.520005,0.201949,0.83066,2.4281,1.5286,0,39.931
5,ogive_polynomial,39.7823,0.6399,3.033,0.0,0.9099,12.0,30.0,15.0,115.0,85.0,0.4,0.29837,1413038.0,12.312,33.45,11.5915,0.504228,0.276334,0.893717,1.3028,1.1709,0,19.266
2,truncated_cone,38.7482,0.6259,43.161,0.409,1.1289,12.0,30.0,15.0,115.0,85.0,0.4,0.32399,1443803.0,12.58,47.23,11.8439,0.515856,0.265899,0.895565,1.1335,1.0545,0,17.588
0,disc,90.0,1.0,90.0,0.0,0.0396,12.0,30.0,15.0,115.0,85.0,0.4,0.07896,1986939.0,17.312,6.7,16.2994,0.916356,0.0,1.014767,10.6948,3.2853,1,100.0
3,spherical,21.7197,0.3701,2.339,0.0,1.1695,12.0,30.0,15.0,115.0,85.0,0.4,0.27225,3439893.0,29.972,18.19,28.2183,0.232222,0.246181,0.591784,0.6242,0.7763,0,24.538
2,truncated_cone,49.6359,0.7619,60.1542,0.6994,0.9535,12.0,30.0,15.0,115.0,85.0,0.4,0.05127,899573.0,7.838,44.44,7.3794,0.551078,0.0,0.645795,9.9272,2.9739,1,100.0
2,truncated_cone,55.1156,0.8203,63.5377,0.5302,1.0654,12.0,30.0,15.0,115.0,85.0,0.4,0.26384,662690.0,5.774,6.7,5.4362,0.741118,0.256658,1.111741,2.1334,1.4406,0,20.733
1,cone,79.2588,0.9825,79.2588,0.0,0.0948,12.0,30.0,15.0,115.0,85.0,0.4,0.14548,1750597.0,15.253,37.46,14.3606,0.911352,0.079367,1.097316,5.5521,2.3774,0,77.555
4,elliptical,41.0847,0.6572,2.0799,0.0,2.0799,12.0,30.0,15.0,115.0,85.0,0.4,0.31136,1439364.0,12.541,35.96,11.8075,0.542882,0.269929,0.928101,1.2043,1.0907,0,19.554
3,spherical,35.7779,0.5846,1.383,0.0,0.6915,12.0,30.0,15.0,115.0,85.0,0.4,0.11638,407540.0,3.551,31.71,3.3432,0.393033,0.257842,0.755187,2.9033,1.6589,0,25.415
5,ogive_polynomial,52.1866,0.79,1.8641,0.0,0.5592,12.0,30.0,15.0,115.0,85.0,0.4,0.28691,2743552.0,23.905,41.6,22.5061,0.726336,0.210581,1.050429,1.9043,1.3926,0,36.671
0,disc,90.0,1.0,90.0,0.0,0.0134,12.0,30.0,15.0,115.0,85.0,0.4,0.09009,221812.0,1.933,34.3,1.8196,0.887562,0.0,0.986297,9.3562,3.0229,0,100.0
1,cone,67.0833,0.9211,67.0833,0.0,0.2114,12.0,30.0,15.0,115.0,85.0,0.4,0.23461,1698568.0,14.8,22.05,13.9338,0.886725,0.179552,1.177976,3.0498,1.7372,0,45.105
0,disc,90.0,1.0,90.0,0.0,0.0354,12.0,30.0,15.0,115.0,85.0,0.4,0.17663,804972.0,7.014,46.39,6.6034,0.940275,0.128512,1.178408,4.5264,2.2175,0,60.922
1,cone,72.7647,0.9551,72.7647,0.0,0.1551,12.0,30.0,15.0,115.0,85.0,0.4,0.12383,2394771.0,20.866,16.75,19.6449,0.864655,0.041892,1.011566,6.2637,2.4989,0,87.161
5,ogive_polynomial,79.6644,0.9838,1.0056,0.0,0.3017,12.0,30.0,15.0,115.0,85.0,0.4,0.33653,778113.0,6.78,42.84,6.3831,1.090918,0.243895,1.452326,2.3137,1.575,0,25.258
1,cone,22.0508,0.3754,22.0508,0.0,1.2344,12.0,30.0,15.0,115.0,85.0,0.4,0.14311,2415524.0,21.047,30.93,19.8152,0.20901,0.244465,0.559183,1.2355,1.1117,0,26.59
1,cone,21.5123,0.3667,21.5123,0.0,1.2685,12.0,30.0,15.0,115.0,85.0,0.4,0.11842,1545594.0,13.467,28.59,12.6789,0.196675,0.2645,0.566461,1.4083,1.206,0,22.648
5,ogive_polynomial,35.8026,0.585,3.7968,0.0,1.1391,12.0,30.0,15.0,115.0,85.0,0.4,0.35313,4906425.0,42.75,37.85,40.2487,0.475683,0.224539,0.818761,0.9191,0.9173,0,33.25
3,spherical,38.1679,0.618,1.2888,0.0,0.6444,12.0,30.0,15.0,115.0,85.0,0.4,0.06535,3165846.0,27.584,41.47,25.9703,0.404541,0.055749,0.557997,5.505,2.3742,0,83.323
2,truncated_cone,43.2607,0.6853,47.52,0.3585,0.641,12.0,30.0,15.0,115.0,85.0,0.4,0.30728,3121531.0,27.198,22.11,25.6067,0.586653,0.241868,0.943468,1.4602,1.1982,0,32.396
5,ogive_polynomial,46.0668,0.7201,2.3018,0.0,0.6905,12.0,30.0,15.0,115.0,85.0,0.4,0.15044,721644.0,6.288,23.63,5.9198,0.556649,0.198165,0.862488,3.0876,1.8246,0,36.982
3,spherical,26.5719,0.4473,1.8975,0.0,0.9487,12.0,30.0,15.0,115.0,85.0,0.4,0.35548,3145255.0,27.405,14.73,25.8013,0.317238,0.243638,0.67755,0.6354,0.7674,0,23.171
5,ogive_polynomial,37.659,0.611,3.3977,0.0,1.0193,12.0,30.0,15.0,115.0,85.0,0.4,0.24641,4369630.0,38.073,3.17,35.8452,0.454767,0.207414,0.775756,1.4473,1.1504,0,37.435
1,cone,56.7866,0.8366,56.7866,0.0,0.3274,12.0,30.0,15.0,115.0,85.0,0.4,0.32015,2391497.0,20.837,10.07,19.6181,0.797498,0.219742,1.132331,1.9065,1.3653,0,34.522
3,spherical,38.8007,0.6266,1.2657,0.0,0.6328,12.0,30.0,15.0,115.0,85.0,0.4,0.12838,4482017.0,39.052,19.8,36.7672,0.446383,0.147865,0.697432,3.0038,1.7515,0,54.152
0,disc,90.0,1.0,90.0,0.0,0.0148,12.0,30.0,15.0,115.0,85.0,0.4,0.36259,4690384.0,40.868,39.96,38.4764,1.099555,0.174855,1.391681,2.2767,1.5642,0,46.623
0,disc,90.0,1.0,90.0,0.0,0.0382,12.0,30.0,15.0,115.0,85.0,0.4,0.31067,4385354.0,38.21,32.89,35.9742,1.062511,0.172999,1.351466,2.638,1.6276,0,50.069
3,spherical,44.9299,0.7062,1.0742,0.0,0.5371,12.0,30.0,15.0,115.0,85.0,0.4,0.37182,2699328.0,23.519,45.22,22.1433,0.644651,0.25678,1.018441,1.2526,1.0867,0,28.076
0,disc,90.0,1.0,90.0,0.0,0.0437,12.0,30.0,15.0,115.0,85.0,0.4,0.17978,4962640.0,43.24,39.13,40.7098,0.959524,0.091603,1.159656,4.6225,2.1728,0,71.965
1,cone,71.3285,0.9474,71.3285,0.0,0.169,12.0,30.0,15.0,115.0,85.0,0.4,0.24326,3918423.0,34.141,22.14,32.1438,0.925757,0.158398,1.195385,3.0823,1.744,0,53.916
4,elliptical,36.6833,0.5974,2.3642,0.0,2.3642,12.0,30.0,15.0,115.0,85.0,0.4,0.35235,2247849.0,19.586,37.56,18.4397,0.46951,0.250575,0.837303,0.913,0.971,0,22.407
1,cone,66.2054,0.915,66.2054,0.0,0.2205,12.0,30.0,15.0,115.0,85.0,0.4,0.32862,4165775.0,36.297,18.91,34.1729,0.945176,0.183633,1.241605,2.2134,1.4914,0,44.137
0,disc,90.0,1.0,90.0,0.0,0.0193,12.0,30.0,15.0,115.0,85.0,0.4,0.29681,2494062.0,21.731,5.92,20.4594,1.056958,0.176715,1.34913,2.7955,1.7181,0,45.625
3,spherical,23.349,0.3963,2.1706,0.0,1.0853,12.0,30.0,15.0,115.0,85.0,0.4,0.33024,3791506.0,33.036,36.57,31.1027,0.258383,0.237214,0.613108,0.5625,0.7502,0,25.3
1,cone,35.9486,0.5871,35.9486,0.0,0.6895,12.0,30.0,15.0,115.0,85.0,0.4,0.39959,4338991.0,37.806,15.82,35.5939,0.505242,0.226252,0.84991,0.8535,0.9187,0,30.385
3,spherical,24.1804,0.4096,2.0933,0.0,1.0467,12.0,30.0,15.0,115.0,85.0,0.4,0.27777,954519.0,8.317,2.12,7.8302,0.257281,0.325308,0.698326,0.6981,0.8543,0,3.726
4,elliptical,56.4947,0.8338,1.4119,0.0,1.4119,12.0,30.0,15.0,115.0,85.0,0.4,0.12874,3244885.0,28.273,35.72,26.6186,0.699362,0.095293,0.89897,4.5934,2.166,0,71.32
3,spherical,27.107,0.4557,1.8583,0.0,0.9292,12.0,30.0,15.0,115.0,85.0,0.4,0.22953,2089128.0,18.203,2.04,17.1377,0.299621,0.258864,0.670465,0.9788,0.99,0,21.523
5,ogive_polynomial,55.3935,0.8231,1.6952,0.0,0.5086,12.0,30.0,15.0,115.0,85.0,0.4,0.38542,1756273.0,15.302,48.52,14.4072,0.841504,0.251418,1.210109,1.5284,1.2266,0,25.519
0,disc,90.0,1.0,90.0,0.0,0.0438,12.0,30.0,15.0,115.0,85.0,0.4,0.1251,3945341.0,34.376,49.85,32.3647,0.930293,0.022936,1.054602,6.6705,2.4326,0,93.104
3,spherical,38.7124,0.6254,1.2689,0.0,0.6344,12.0,30.0,15.0,115.0,85.0,0.4,0.25831,4686633.0,40.835,47.88,38.4457,0.486018,0.204834,0.803691,1.4649,1.2242,0,38.134
0,disc,90.0,1.0,90.0,0.0,0.0393,12.0,30.0,15.0,115.0,85.0,0.4,0.14528,3435501.0,29.934,7.76,28.1823,0.947313,0.059089,1.113768,5.6959,2.4563,0,82.367
2,truncated_cone,36.1462,0.5898,40.9828,0.4721,0.5927,12.0,30.0,15.0,115.0,85.0,0.4,0.31653,3272313.0,28.512,35.26,26.8436,0.464207,0.238967,0.8173,1.0649,1.0447,0,29.103
3,spherical,22.7002,0.3859,2.2348,0.0,1.1174,12.0,30.0,15.0,115.0,85.0,0.4,0.17438,4956880.0,43.19,46.06,40.6626,0.221485,0.218241,0.549072,1.0438,1.0241,0,34.419
4,elliptical,92.1602,0.9993,0.6346,0.0,0.6346,12.0,30.0,15.0,115.0,85.0,0.4,0.25137,772269.0,6.729,49.53,6.3351,1.028854,0.199673,1.340896,3.1362,1.7509,0,38.991
1,cone,38.5076,0.6226,38.5076,0.0,0.6284,12.0,30.0,15.0,115.0,85.0,0.4,0.1202,1189603.0,10.365,47.13,9.7586,0.428283,0.182355,0.715387,3.1278,1.7445,0,42.681
1,cone,46.061,0.7201,46.061,0.0,0.4818,12.0,30.0,15.0,115.0,85.0,0.4,0.3141,2289510.0,19.949,8.74,18.7814,0.612059,0.230986,0.957049,1.4595,1.1884,0,29.136
3,spherical,41.4849,0.6624,1.1752,0.0,0.5876,12.0,30.0,15.0,115.0,85.0,0.4,0.14614,583948.0,5.088,46.51,4.7903,0.485816,0.236533,0.827713,2.771,1.6696,0,29.052
0,disc,90.0,1.0,90.0,0.0,0.0496,12.0,30.0,15.0,115.0,85.0,0.4,0.28443,745929.0,6.499,15.72,6.119,1.082172,0.228082,1.424559,2.9048,1.725,0,32.667
3,spherical,40.2779,0.6465,1.2145,0.0,0.6072,12.0,30.0,15.0,115.0,85.0,0.4,0.29632,1578670.0,13.755,30.11,12.9502,0.525581,0.274058,0.915621,1.3118,1.1065,0,21.457
1,cone,22.5475,0.3834,22.5475,0.0,1.2043,12.0,30.0,15.0,115.0,85.0,0.4,0.18972,452067.0,3.939,16.99,3.7084,0.220712,0.378774,0.711081,0.9271,0.9494,0,0.0
4,elliptical,35.7264,0.5839,2.4347,0.0,2.4347,12.0,30.0,15.0,115.0,85.0,0.4,0.21402,646919.0,5.637,36.15,5.3068,0.430328,0.306552,0.847798,1.4475,1.2462,0,10.095
0,disc,90.0,1.0,90.0,0.0,0.0123,12.0,30.0,15.0,115.0,85.0,0.4,0.24572,3020609.0,26.319,15.1,24.7788,1.040218,0.150455,1.303878,3.3708,1.8666,0,54.494
1,cone,39.6754,0.6384,39.6754,0.0,0.6028,12.0,30.0,15.0,115.0,85.0,0.4,0.18004,3475617.0,30.283,30.74,28.5114,0.459508,0.183071,0.752129,2.1192,1.4567,0,42.577
0,disc,90.0,1.0,90.0,0.0,0.0247,12.0,30.0,15.0,115.0,85.0,0.4,0.15638,4671814.0,40.706,45.92,38.3241,0.956133,0.068884,1.132637,5.2025,2.276,0,79.056
1,cone,45.0646,0.7079,45.0646,0.0,0.4989,12.0,30.0,15.0,115.0,85.0,0.4,0.3536,102784.0,0.896,32.54,0.8432,0.621059,0.463206,1.200989,1.3081,1.1751,0,0.0
3,spherical,25.0217,0.423,2.0203,0.0,1.0101,12.0,30.0,15.0,115.0,85.0,0.4,0.30964,363496.0,3.167,5.61,2.9819,0.278059,0.383582,0.779489,0.6473,0.8186,0,0.0
5,ogive_polynomial,38.5435,0.6231,3.2356,0.0,0.9707,12.0,30.0,15.0,115.0,85.0,0.4,0.26077,1920211.0,16.731,15.39,15.752,0.484267,0.244649,0.842724,1.3907,1.2117,0,25.755
4,elliptical,30.2278,0.5034,2.922,0.0,2.922,12.0,30.0,15.0,115.0,85.0,0.4,0.35397,4591535.0,40.006,25.09,37.6656,0.380891,0.245479,0.742409,0.6823,0.8466,0,30.155
4,elliptical,44.7454,0.704,1.8834,0.0,1.8834,12.0,30.0,15.0,115.0,85.0,0.4,0.20703,4441278.0,38.697,20.39,36.433,0.559392,0.186521,0.858008,2.0291,1.3904,0,45.699
1,cone,78.1863,0.9788,78.1863,0.0,0.1046,12.0,30.0,15.0,115.0,85.0,0.4,0.35684,3170532.0,27.625,6.99,26.0087,1.074596,0.188896,1.381802,2.2246,1.4732,0,41.757
2,truncated_cone,61.7594,0.881,66.1747,0.2669,0.4074,12.0,30.0,15.0,115.0,85.0,0.4,0.37168,597032.0,5.202,20.13,4.8976,0.910691,0.294528,1.323724,1.8287,1.3188,0,11.617
2,truncated_cone,30.4406,0.5066,32.5781,0.2624,0.5236,12.0,30.0,15.0,115.0,85.0,0.4,0.37061,4249684.0,37.028,42.8,34.8613,0.382581,0.242858,0.742392,0.7314,0.8703,0,28.758
3,spherical,21.1296,0.3605,2.4062,0.0,1.2031,12.0,30.0,15.0,115.0,85.0,0.4,0.16947,1783970.0,15.544,9.7,14.6344,0.200642,0.273528,0.58231,0.9735,1.0145,0,18.666
1,cone,71.5718,0.9487,71.5718,0.0,0.1666,12.0,30.0,15.0,115.0,85.0,0.4,0.22301,4439955.0,38.686,7.77,36.4221,0.934355,0.1387,1.185055,3.2536,1.7902,0,58.219
4,elliptical,51.9011,0.7869,1.5734,0.0,1.5734,12.0,30.0,15.0,115.0,85.0,0.4,0.18334,1957246.0,17.054,13.22,16.0558,0.638375,0.174877,0.924569,2.8375,1.6559,0,46.191
2,truncated_cone,30.8558,0.5129,32.3312,0.1825,0.6935,12.0,30.0,15.0,115.0,85.0,0.4,0.07228,4673603.0,40.721,45.45,38.3388,0.307026,0.116356,0.518463,3.8068,1.9709,0,64.475
4,elliptical,101.3209,0.9805,0.5024,0.0,0.5024,12.0,30.0,15.0,115.0,85.0,0.4,0.29662,3636770.0,31.687,26.42,29.8334,1.039287,0.172632,1.324791,2.6386,1.6206,0,48.577
0,disc,90.0,1.0,90.0,0.0,0.011,12.0,30.0,15.0,115.0,85.0,0.4,0.10645,3755470.0,32.722,0.27,30.8071,0.91583,0.0,1.016682,7.7565,2.7207,0,100.0
0,disc,90.0,1.0,90.0,0.0,0.036,12.0,30.0,15.0,115.0,85.0,0.4,0.31775,787664.0,6.863,14.77,6.4614,1.074894,0.23619,1.426727,2.5493,1.5838,0,28.697
4,elliptical,33.7503,0.5556,2.5924,0.0,2.5924,12.0,30.0,15.0,115.0,85.0,0.4,0.39983,315461.0,2.749,13.03,2.5878,0.456873,0.397512,0.971614,0.7337,0.8497,0,0.0
4,elliptical,64.2175,0.9005,1.186,0.0,1.186,12.0,30.0,15.0,115.0,85.0,0.4,0.3909,3337228.0,29.077,31.71,27.3761,0.987427,0.205266,1.309984,1.6897,1.3224,0,37.057
2,truncated_cone,44.1479,0.6965,53.1444,0.6771,0.7232,12.0,30.0,15.0,115.0,85.0,0.4,0.12545,4058386.0,35.361,48.71,33.292,0.507301,0.127953,0.738403,3.6224,1.9743,0,60.266
5,ogive_polynomial,43.8767,0.6931,2.5129,0.0,0.7539,12.0,30.0,15.0,115.0,85.0,0.4,0.3923,3074967.0,26.792,21.15,25.2248,0.633076,0.236151,0.987678,1.114,1.0357,0,28.74
1,cone,40.4923,0.6493,40.4923,0.0,0.5856,12.0,30.0,15.0,115.0,85.0,0.4,0.14261,3228491.0,28.13,22.74,26.4841,0.472154,0.163751,0.740708,2.8079,1.7367,0,49.364
3,spherical,71.4814,0.9482,0.602,0.0,0.301,12.0,30.0,15.0,115.0,85.0,0.4,0.35958,196623.0,1.713,1.51,1.6129,1.046674,0.354476,1.51731,2.1099,1.3675,0,0.0
3,spherical,26.88,0.4521,1.8748,0.0,0.9374,12.0,30.0,15.0,115.0,85.0,0.4,0.34072,2083242.0,18.151,34.84,17.0894,0.311653,0.276939,0.705714,0.669,0.7994,0,17.068
3,spherical,49.3176,0.7583,0.9647,0.0,0.4823,12.0,30.0,15.0,115.0,85.0,0.4,0.13505,2807485.0,24.462,22.42,23.0305,0.591018,0.133334,0.829049,4.0053,1.9149,0,60.063
5,ogive_polynomial,39.462,0.6356,3.0829,0.0,0.9249,12.0,30.0,15.0,115.0,85.0,0.4,0.19851,4634422.0,40.38,29.41,38.0174,0.473278,0.190971,0.773227,1.98,1.4009,0,43.405
1,cone,59.0801,0.8579,59.0801,0.0,0.2995,12.0,30.0,15.0,115.0,85.0,0.4,0.11918,2564087.0,22.341,37.8,21.0339,0.731897,0.077783,0.911429,5.3829,2.3339,0,77.567
5,ogive_polynomial,37.328,0.6064,3.4626,0.0,1.0388,12.0,30.0,15.0,115.0,85.0,0.4,0.38674,4529217.0,39.463,8.59,37.1543,0.509317,0.225713,0.852409,0.9087,0.9621,0,31.804
3,spherical,27.2195,0.4574,1.8503,0.0,0.9251,12.0,30.0,15.0,115.0,85.0,0.4,0.27043,4156828.0,36.219,2.49,34.0995,0.311935,0.231702,0.657679,0.8316,0.9273,0,29.926
4,elliptical,59.4244,0.861,1.3203,0.0,1.3203,12.0,30.0,15.0,115.0,85.0,0.4,0.29254,4437335.0,38.663,25.44,36.4006,0.82306,0.176087,1.111675,2.1242,1.4434,0,45.222
5,ogive_polynomial,68.7423,0.932,1.231,0.0,0.3693,12.0,30.0,15.0,115.0,85.0,0.4,0.07711,4154797.0,36.201,48.2,34.0829,0.808563,0.0,0.90718,9.37,3.0084,0,100.0
4,elliptical,35.0436,0.5742,2.4873,0.0,2.4873,12.0,30.0,15.0,115.0,85.0,0.4,0.21766,182448.0,1.59,17.47,1.4967,0.417602,0.388035,0.916111,1.3733,1.1974,0,0.0
0,disc,90.0,1.0,90.0,0.0,0.0236,12.0,30.0,15.0,115.0,85.0,0.4,0.30283,1314414.0,11.453,32.81,10.7825,1.059343,0.203462,1.377814,2.7902,1.6336,0,37.423
2,truncated_cone,37.3761,0.607,42.4457,0.4778,0.2764,12.0,30.0,15.0,115.0,85.0,0.4,0.18179,403239.0,3.513,20.48,3.3079,0.4344,0.313599,0.858234,2.024,1.3928,0,8.341
1,cone,76.5443,0.9725,76.5443,0.0,0.1196,12.0,30.0,15.0,115.0,85.0,0.4,0.21839,1825048.0,15.902,41.64,14.9713,0.970696,0.160129,1.24128,3.598,1.9071,0,52.925
5,ogive_polynomial,45.932,0.7185,2.3137,0.0,0.6941,12.0,30.0,15.0,115.0,85.0,0.4,0.08572,1082421.0,9.431,42.14,8.8794,0.539656,0.077337,0.716004,5.3721,2.328,0,76.669
3,spherical,21.2388,0.3623,2.3935,0.0,1.1968,12.0,30.0,15.0,115.0,85.0,0.4,0.30353,4144797.0,36.114,43.76,34.0008,0.224362,0.241009,0.581021,0.5414,0.7564,0,26.37
1,cone,25.6605,0.433,25.6605,0.0,1.0408,12.0,30.0,15.0,115.0,85.0,0.4,0.21234,3740241.0,32.589,10.76,30.6822,0.272235,0.224965,0.609636,1.0224,0.9646,0,30.202
5,ogive_polynomial,38.0024,0.6157,3.3329,0.0,0.9999,12.0,30.0,15.0,115.0,85.0,0.4,0.05909,2025010.0,17.644,34.25,16.6117,0.399933,0.034879,0.530926,6.1643,2.411,0,89.132
2,truncated_cone,47.3743,0.7358,48.7058,0.1093,0.3582,12.0,30.0,15.0,115.0,85.0,0.4,0.08441,229748.0,2.002,30.99,1.8847,0.541021,0.087448,0.728511,5.5818,2.3269,0,74.28
4,elliptical,38.1458,0.6177,2.2629,0.0,2.2629,12.0,30.0,15.0,115.0,85.0,0.4,0.21284,225948.0,1.969,5.29,1.8535,0.475795,0.353485,0.940144,1.6235,1.2633,0,0.0
1,cone,30.6747,0.5102,30.6747,0.0,0.8429,12.0,30.0,15.0,115.0,85.0,0.4,0.32153,1795713.0,15.646,46.28,14.7307,0.367119,0.270127,0.753962,0.8326,0.9532,0,16.986
1,cone,47.9906,0.743,47.9906,0.0,0.4504,12.0,30.0,15.0,115.0,85.0,0.4,0.1537,2935186.0,25.574,23.86,24.0781,0.591445,0.144367,0.841476,3.2247,1.7975,0,53.514
3,spherical,25.1939,0.4257,2.0059,0.0,1.0029,12.0,30.0,15.0,115.0,85.0,0.4,0.22023,4885242.0,42.565,49.57,40.0749,0.267111,0.220496,0.600063,0.9477,0.9449,0,33.17
